"","School","ID","CoNo","StNo","Low","High","Students"
"172","LINDSAY LANE CHRISTIAN ACADEMY","A1100006","83","01",-1,12,316
"173","LITTLE FLOCK MINISTRIES","A0770112","101","01",-1,12,11
"174","LITTLE FLOWER CATHOLIC SCHOOL","00000598","97","01",-1,8,167
"175","LIVING WORD CHRISTIAN CENTER K","A9900049","97","01",-1,8,28
"176","LOWNDES ACADEMY","00000995","85","01",0,12,228
"177","MACON EAST ACADEMY","00002835","101","01",-1,12,406
"178","MADISON ACADEMY","00002165","89","01",-1,12,895
"179","MADISON BAPTIST ACADEMY","AA890009","89","01",0,12,77
"180","MARENGO ACADEMY HIGH SCHOOL","00000827","91","01",-1,12,214
"181","MARIETTA JOHNSON SCHOOL OF ORG","00002176","3","01",-1,8,29
"182","MARION ACADEMY","A9100140","105","01",-1,12,101
"183","MARS HILL BIBLE SCHOOL","00000973","77","01",-1,12,578
"184","MARSHALL CHRISTIAN ACADEMY","A0700013","95","01",-1,10,197
"185","MAYFAIR CHILD DEVELOPMENT CENT","K9500005","89","01",-1,0,138
"186","MCCULLEY HILL CHRISTIAN SCHOOL","A0300029","7","01",0,12,166
"187","MCELWAIN CHRISTIAN ACADEMY","A0900049","73","01",0,2,31
"188","MCGILL-TOOLEN CATHOLIC HIGH SC","01925841","97","01",9,12,1138
"189","MCRAE LEARNING CENTER","02000337","47","01",-1,0,30
"190","MEADOWVIEW CHRISTIAN SCHOOL","00002198","47","01",-1,12,183
"191","MIRACLE DELIVERANCE TEMPLE LEA","A9700024","73","01",-1,0,3
"192","MOBILE CHRISTIAN SCHOOL","00001354","97","01",-1,12,550
"193","MOBILE JUNIOR ACADEMY","00003329","97","01",0,9,23
"194","MONROE ACADEMY","00002201","99","01",-1,12,496
"195","MONTESSORI ACADEMY","A9500016","101","01",-1,0,86
"196","MONTESSORI WORLD SCHOOL","A0509201","97","01",-1,0,38
"197","MONTGOMERY CATHOLIC PREPARATOR","00000714","101","01",0,12,797
"198","MONTGOMERY CHRISTIAN SCHOOL","A0900053","101","01",0,3,35
"199","MONTGOMERY SDA SCHOOL","02001057","101","01",1,8,22
"200","MORGAN ACADEMY","00000871","47","01",0,12,473
"201","MOST PURE HEART OF MARY SCHOOL","00000576","97","01",-1,8,169
"202","MOTHER MARY SCHOOL","00000678","113","01",-1,8,61
"203","MOUNTAIN VIEW ADVENTIST SCHOOL","A0900054","115","01",3,8,5
"204","MOUNTAIN VIEW BAPTIST SCHOOL","A9900054","73","01",-1,12,94
"205","MOUNTAIN VIEW CHRISTIAN","02000494","71","01",-1,12,69
"206","MRS RONDAS MONTESSORI SCHOOL","A9500023","89","01",0,1,13
"207","MT OLIVE ACADEMY","A0700015","73","01",2,11,12
"208","MT PILGRIM CHRISTIAN ACADEMY","A0900055","73","01",0,6,41
"209","MT PLEASANT CHURCH KINDERGARTE","A0100302","9","01",-1,0,56
"210","MT PLEASANT MISSIONARY BAPTIST","A1170135","33","01",-1,0,6
"211","NAZAREE CHRISTIAN SCHOOL","A1100009","97","01",-1,5,32
"212","NE MILES JEWISH DAY SCHOOL","00001398","73","01",0,8,71
"213","NEW HOPE CHRISTIAN ELEMENTARY ","A0100308","73","01",0,5,67
"214","NEW JERUSALEM CHRISTIAN SCHOOL","A1150005","73","01",-1,0,14
"215","NEW LIFE CHRISTIAN ACADEMY","A0300033","109","01",-1,12,71
"216","NEW LIFE CHRISTIAN ACADEMY","02000359","51","01",-1,12,247
"217","NEW LIFE CHRISTIAN SCHOOL OF E","A0700017","73","01",0,4,55
"218","NEW TESTAMENT BAPTIST SCHOOL","A9900059","81","01",0,12,6
"219","NOAHS PARK WEEKDAY EARLY EDUCA","A1170147","73","01",-1,0,320
"220","NORTH MOBILE CHRISTIAN SCHOOL","A9302021","97","01",-1,8,397
"221","NORTH POINTE CHURCH OF CHRIST","A1170148","101","01",0,2,4
"222","NORTH RIVER CHRISTIAN ACADEMY","A9300013","125","01",-1,12,276
"223","NORTHSIDE METHODIST CHURCH & A","00002234","69","01",-1,12,370
"224","NORTHVIEW CHRISTIAN CHURCH ACA","A0900059","69","01",-1,6,64
"225","OAKWOOD ADVENTIST ACADEMY","A0700018","89","01",0,12,250
"226","OPEN DOOR CHRISTIAN SCHOOL","AA890010","3","01",-1,11,101
"227","OUR LADY OF FATIMA SCHOOL","00000215","73","01",-1,8,186
"228","OUR LADY OF LOURDES KINDERGART","K9300015","73","01",-1,0,91
"229","OUR LADY OF SORROWS","00000088","73","01",-1,8,425
"230","OUR LADY OF THE VALLEY SCHOOL","00000339","117","01",-1,8,412
"231","PALMERDALE UMC CHRISTIAN SCHOO","A0100319","73","01",-1,5,219
"232","PARKVIEW CHRISTIAN SCHOOL","A0900062","5","01",-1,12,144
"233","PARKWAY CHRISTIAN ACADEMY","01925885","73","01",-1,12,314
"234","PATHWAY INC","A9700032","31","01",5,12,97
"235","PATRICIAN ACADEMY","01925896","23","01",-1,12,273
"236","PHENIX CHRISTIAN SCHOOL","A9300002","113","01",-1,5,92
"237","PICKENS ACADEMY","00002278","107","01",-1,12,251
"238","PIKE LIBERAL ARTS SCHOOL","00002289","109","01",0,12,470
"239","POPE JOHN PAUL II CATHOLIC HIG","A9900007","89","01",9,12,393
"240","PRATTVILLE CHRISTIAN ACADEMY","A0100330","51","01",-1,12,668
"241","PREMIER SCHOOL","A0700019","89","01",-1,1,138
"242","PREMIER SCHOOL OF RESEARCH PAR","A0900064","89","01",-1,1,146
"243","PRICHARD PREPARATORY SCHOOL","A0900016","97","01",-1,5,85
"244","PRICHARD PREPARATORY SCHOOL","A1192003","97","01",-1,5,82
"245","PRIMROSE SCHOOL AT MEADOWBROOK","A1100011","117","01",-1,0,56
"246","PRIMROSE SCHOOL OF RIVERWOODS","A1170169","117","01",-1,0,116
"247","PRINCE OF PEACE CATHOLIC SCHOO","A0500029","73","01",-1,8,388
"248","PROVIDENCE CHRISTIAN SCHOOL","A9900064","69","01",1,12,708
"249","PROVIDENCE CLASSICAL SCHOOL","A0900067","89","01",-1,12,184
"250","RANDOLPH SCHOOL","00001605","89","01",0,12,996
"251","RESTORATION ACADEMY","A9900066","73","01",0,12,268
"252","RESURRECTION CATHOLIC SCHOOL","A9302022","101","01",-1,8,109
"253","REVELATION BAPTIST SCHOOL","A0900068","97","01",0,5,21
"254","RIDGECREST BAPTIST CHURCH CHIL","A0100339","69","01",-1,0,121
"255","RIVERCHASE UNITED METHODIST DA","A0900069","117","01",-1,0,210
"256","RIVERHILL SCHOOL","02000723","77","01",-1,6,96
"257","ROCK CREEK ACADEMY","A0900070","73","01",0,12,31
"258","RTK COMMUNITY LEARNING AND TEC","A1100012","37","01",0,12,183
"259","RUSHTON SCHOOL","A9900068","73","01",7,11,31
"260","SACRED HEART CATHOLIC SCHOOL","00000306","15","01",-1,12,246
"261","SACRED HEART ELEMENTARY","00000135","43","01",-1,6,146
"262","SAFE HAVEN CHRISTIAN ACADEMY","A0792001","97","01",-1,12,29
"263","SATSUMA CHRISTIAN SCHOOL","00002314","97","01",-1,10,279
"264","SCOTTSBORO CHRISTIAN ACADEMY","A9900050","71","01",-1,12,37
"265","SEQUEL YOUTH AND FAMILY SERVIC","A0700029","87","01",7,12,52
"266","SHADES MOUNTAIN CHRISTIAN SCHO","00003078","73","01",-1,12,397
"267","SHOALS CHRISTIAN SCHOOL","A0100374","77","01",-1,12,230
"268","SOUTH CHOCTAW ACADEMY","01926186","23","01",-1,12,301
"269","SOUTH MONTGOMERY COUNTY ACADEM","00001525","101","01",-1,12,149
"270","SOUTHERN ACADEMY","00002358","65","01",-1,12,264
"271","SOUTHMINSTER DAY SCHOOL","AA001340","73","01",-1,5,226
"272","SPARTA ACADEMY","00002391","35","01",-1,12,225
"273","SPRINGWOOD SCHOOL","00002405","17","01",-1,12,288
"274","ST ALOYSIUS SCHOOL","00000292","73","01",-1,8,162
"275","ST ANN SCHOOL","00000124","103","01",-1,8,105
